itjuzi_id,itjuzi_name,haituo_name,haituo_id,isrepeat
5070,红塔（昆山）创投,查无,,
5071,科伟科投,查无,,
5072,天友高新产投,查无,,
5073,凯达佳瑞,查无,,
5074,中朴创投,查无,,
5075,新疆中小企业创投,查无,,
5076,融仕达投资,查无,,
5077,天启投资,查无,,
5078,顺薇创投,查无,,
5079,富盈投资,查无,,
5080,谈石投资,查无,,
5081,鑫宇风投,查无,,
5082,永兴投资,查无,,
5083,皇朝投资,查无,,
5084,瑞旗投资,查无,,
5085,景上花创投,查无,,
5086,两岸产业基金,查无,,
5087,宏泰银科,查无,,
5088,鼎恒瑞投资,深圳市鼎恒瑞投资有限公司,24593,
5089,中华开发工银,中华开发工业银行,7727,
5090,泓御资本,泓御资本,3866,
5091,创力投资,查无,,
5092,国际创投,上海国际创投SIGVC,13837,
5093,国商投资,查无,,
5094,高新盈创,成都盈创动力投资管理有限公司,24338,
5095,福鱼资本,查无,,
5096,高沣投资,高沣投资,966,
5097,体创资本,体创资本,23781,
5098,中体运通基金,查无,,
5099,华光资本,华光资本控股有限公司,129,
5100,东吴创投,东吴创投,3716,
5101,恒锐源,查无,,
5102,金浩投资,查无,,
5103,金兆资本,查无,,
5104,易高成长创投,易高成长创投,29471,
5105,鼎信宏图,查无,,
5106,浙江创新产投,浙江创新产业投资管理有限公司,24268,
5107,富成创投,广东富成创业投资有限公司,24024,
5108,恒久碧能,查无,,
5109,融投创投,查无,,
5110,今盛创投,查无,,
5111,川联科投,查无,,
5112,金慧投资,查无,,
5113,甬港无咖投资,甬港无咖投资,3358,
5114,清林华成投资,清林华成投资,4066,
5115,汉华利禾,查无,,
5116,懿灏投资,查无,,
5117,四川文化产业股权投资基金,四川文化产业股权投资基金,7284,
5118,晟高基金管理,查无,,
5119,汇致资本,汇致资本,29144,
5120,仁和金砂,查无,,
5121,美投高新投,查无,,
5122,天缘科风投,查无,,
5123,益安投资,查无,,
5124,博思辰光,查无,,
5125,海业投资,查无,,
5126,皖江物流产业投资,查无,,
5127,锐和投资,查无,,
5128,辽海方舟,查无,,
5129,威德投资,查无,,
5130,涌邦投资,查无,,
5131,昭瑞投资,查无,,
5132,茂元投资,查无,,
5133,昆鹏投资,查无,,
5134,元坤投资,查无,,
5135,总商会投资,查无,,
5136,和辉信达,深圳市和辉信达投资有限公司,23927,
5138,创动投资,查无,,
5139,中国私募基金,查无,,
5140,海风联投资,查无,,
5141,利合资本,利合资本,28519,
5142,睿鑫投资,查无,,
5143,冠聚投资,查无,,
5144,银美投资,查无,,
5145,艺鑫投资,查无,,
5146,元泰投资,查无,,
5147,君源创投,君源创投,4021,
5148,百商投资,查无,,
5149,金藏投资,查无,,
5150,富基投资,查无,,
5151,紫槐汉世纪,紫槐汉世纪,29410,
5152,北京小城镇基金,查无,,
5153,冠及投资,查无,,
5154,谦谦投资,查无,,
5155,曜为资本,查无,,
5156,安信风投,查无,,
5157,谦心投资,查无,,
5158,银帅特,查无,,
5159,意腾投资,查无,,
5160,锐合投资,锐合资本,7081,
5161,财富联合,财富联合,28535,
5162,金牛投资,查无,,
5163,碧海蓝湾基金,查无,,
5164,启杰投资,查无,,
5165,青盟投资,查无,,
5166,暖山投资,查无,,
5167,泰发基金,查无,,
5168,华威宏创,查无,,
5169,光控众盈新产业基金,光控众盈新产业,3296,
5170,中广长城投资,中广长城投资,7439,
5171,伯乐遇马天使投资,伯乐遇马 天使投资,8,
5172,红石先锋,红石先锋,29505,
5173,炫烨和盛,查无,,
5174,RDIF俄罗斯直接投资基金,查无,,
5175,润都资本,广州润都股权投资管理有限公司,4618,
5176,华信信达,查无,,
